id	8	1 1 1 1 1 1 1 1
r2per	8	1 2 1 2 1 2 1 2
r2sum	8	1 1 1 1 2 2 2 2
r2blk	8	1 1 2 2 1 1 2 2
r2rnd	8	1 2 2 1 2 1 1 2
id	12	1 1 1 1 1 1 1 1 1 1 1 1
r2per	12	1 2 1 2 1 2 1 2 1 2 1 2
r2sum	12	1 1 1 1 1 1 2 2 2 2 2 2
r2blk	12	1 1 1 2 2 2 1 1 1 2 2 2
r2rnd	12	1 1 2 2 1 1 1 2 2 2 1 2
id	16	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r2per	16	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2sum	16	1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2
r2blk	16	1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2
r2rnd	16	2 2 1 1 2 2 1 1 2 2 1 2 1 2 1 1
id	20	1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r2per	20	1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
r2sum	20	1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2
r2blk	20	1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 2 2 2 2 2
r2rnd	20	1 1 2 1 1 2 2 2 1 1 2 2 2 1 2 1 2 2 1 1
r3per	9	1 2 3 1 2 3 1 2 3
r3sum	9	1 1 1 2 2 2 3 3 3
r3blk	9	1 1 2 2 3 3 1 2 3
r3rnd	9	1 3 3 3 1 2 2 1 2
r3per	12	1 2 3 1 2 3 1 2 3 1 2 3
r3sum	12	1 1 1 1 2 2 2 2 3 3 3 3
r3blk	12	1 1 2 2 3 3 1 1 2 2 3 3
r3rnd	12	3 1 3 2 3 2 2 1 3 2 1 1
r3per	15	1 2 3 1 2 3 1 2 3 1 2 3 1 2 3
r3sum	15	1 1 1 1 1 2 2 2 2 2 3 3 3 3 3
r3blk	15	1 1 1 2 2 2 3 3 3 1 1 2 2 3 3
r3rnd	15	1 2 2 2 3 1 3 2 1 3 3 2 1 1 3
