k=8 N=16  E_lc=0.1459 (+-0.00018)   E#copies=2.642
k=8 N=20  E_lc=0.4548 (+-0.00074)   E#copies=15.75
k=8 N=24  E_lc=1.058 (+-0.0022)   E#copies=67.71
k=8 N=28  E_lc=2 (+-0.0052)   E#copies=232.4
k=8 N=32  E_lc=3.322 (+-0.011)   E#copies=676.3
k=10 N=26  E_lc=0.2159 (+-0.00034)   E#copies=10.72
k=10 N=30  E_lc=0.5276 (+-0.001)   E#copies=44.84
k=10 N=34  E_lc=1.094 (+-0.0025)   E#copies=156.8
k=10 N=38  E_lc=2.015 (+-0.0055)   E#copies=476.8
k=10 N=42  E_lc=3.365 (+-0.011)   E#copies=1297
k=12 N=36  E_lc=0.1975 (+-0.00035)   E#copies=20.65
k=12 N=42  E_lc=0.628 (+-0.0014)   E#copies=131.3
k=12 N=48  E_lc=1.609 (+-0.0044)   E#copies=652
k=12 N=54  E_lc=3.442 (+-0.012)   E#copies=2679
k=12 N=60  E_lc=6.503 (+-0.027)   E#copies=9487
k=14 N=50  E_lc=0.2858 (+-0.00061)   E#copies=80.31
k=14 N=56  E_lc=0.7649 (+-0.002)   E#copies=392.5
k=14 N=62  E_lc=1.779 (+-0.0055)   E#copies=1632
k=14 N=68  E_lc=3.629 (+-0.013)   E#copies=5947
k=14 N=74  E_lc=6.784 (+-0.029)   E#copies=1.943e+04
k=16 N=62  E_lc=0.2128 (+-0.00048)   E#copies=108.9
k=16 N=70  E_lc=0.7222 (+-0.002)   E#copies=759.2
k=16 N=78  E_lc=2.013 (+-0.0068)   E#copies=4288
k=16 N=86  E_lc=4.822 (+-0.02)   E#copies=2.045e+04
k=16 N=94  E_lc=10.33 (+-0.051)   E#copies=8.488e+04
k=20 N=100  E_lc=0.4637 (+-0.0014)   E#copies=1689
k=20 N=110  E_lc=1.504 (+-0.0054)   E#copies=1.137e+04
k=20 N=120  E_lc=4.218 (+-0.018)   E#copies=6.477e+04
k=20 N=130  E_lc=10.27 (+-0.053)   E#copies=3.211e+05
k=20 N=140  E_lc=22.91 (+-0.15)   E#copies=1.414e+06
