k=20 N=115 id     E_lc=2.562 E_level2=1.322 (+-0.006) ratio=0.516 log-ratio/k=-0.0331 [1 two-cell, 18 same-cell]
k=20 N=115 rand0  E_lc=2.565 E_level2=1.384 (+-0.006) ratio=0.540 log-ratio/k=-0.0308 [18 two-cell, 0 same-cell]
k=20 N=115 rand1  E_lc=2.559 E_level2=1.425 (+-0.006) ratio=0.557 log-ratio/k=-0.0293 [17 two-cell, 0 same-cell]
k=20 N=115 rand2  E_lc=2.566 E_level2=1.455 (+-0.006) ratio=0.567 log-ratio/k=-0.0284 [17 two-cell, 0 same-cell]
k=24 N=150 id     E_lc=1.397 E_level2=0.688 (+-0.003) ratio=0.493 log-ratio/k=-0.0295 [1 two-cell, 22 same-cell]
k=24 N=150 rand0  E_lc=1.389 E_level2=0.740 (+-0.003) ratio=0.532 log-ratio/k=-0.0263 [21 two-cell, 0 same-cell]
k=24 N=150 rand1  E_lc=1.392 E_level2=0.746 (+-0.003) ratio=0.536 log-ratio/k=-0.0260 [21 two-cell, 0 same-cell]
k=24 N=150 rand2  E_lc=1.402 E_level2=0.721 (+-0.004) ratio=0.514 log-ratio/k=-0.0277 [23 two-cell, 0 same-cell]
k=32 N=250 id     E_lc=1.371 E_level2=0.559 (+-0.003) ratio=0.408 log-ratio/k=-0.0280 [1 two-cell, 30 same-cell]
k=32 N=250 rand0  E_lc=1.372 E_level2=0.592 (+-0.004) ratio=0.431 log-ratio/k=-0.0263 [31 two-cell, 0 same-cell]
k=32 N=250 rand1  E_lc=1.365 E_level2=0.605 (+-0.003) ratio=0.443 log-ratio/k=-0.0254 [29 two-cell, 0 same-cell]
k=32 N=250 rand2  E_lc=1.371 E_level2=0.589 (+-0.004) ratio=0.430 log-ratio/k=-0.0264 [31 two-cell, 0 same-cell]
