k=12 N=48 id     E_lc=1.598  E_level2=1.038 (+-0.003)  ratio=0.649  [1 two-cell, 10 same-cell pairs]
k=12 N=48 rand0  E_lc=1.597  E_level2=1.142 (+-0.004)  ratio=0.715  [9 two-cell, 0 same-cell pairs]
k=12 N=48 rand1  E_lc=1.593  E_level2=1.049 (+-0.004)  ratio=0.659  [11 two-cell, 0 same-cell pairs]
k=12 N=48 rand2  E_lc=1.596  E_level2=1.158 (+-0.004)  ratio=0.726  [7 two-cell, 1 same-cell pairs]
k=12 N=48 rand3  E_lc=1.593  E_level2=1.137 (+-0.004)  ratio=0.714  [9 two-cell, 0 same-cell pairs]
k=16 N=78 id     E_lc=2.025  E_level2=1.170 (+-0.005)  ratio=0.578  [1 two-cell, 14 same-cell pairs]
k=16 N=78 rand0  E_lc=2.013  E_level2=1.210 (+-0.005)  ratio=0.601  [13 two-cell, 1 same-cell pairs]
k=16 N=78 rand1  E_lc=2.012  E_level2=1.195 (+-0.005)  ratio=0.594  [15 two-cell, 0 same-cell pairs]
k=16 N=78 rand2  E_lc=2.010  E_level2=1.284 (+-0.005)  ratio=0.639  [13 two-cell, 0 same-cell pairs]
k=16 N=78 rand3  E_lc=2.020  E_level2=1.229 (+-0.005)  ratio=0.608  [14 two-cell, 0 same-cell pairs]
k=16 N=86 id     E_lc=4.855  E_level2=2.573 (+-0.013)  ratio=0.530  [1 two-cell, 14 same-cell pairs]
k=16 N=86 rand0  E_lc=4.860  E_level2=2.684 (+-0.014)  ratio=0.552  [13 two-cell, 1 same-cell pairs]
k=16 N=86 rand1  E_lc=4.845  E_level2=2.662 (+-0.014)  ratio=0.549  [15 two-cell, 0 same-cell pairs]
k=16 N=86 rand2  E_lc=4.889  E_level2=2.926 (+-0.016)  ratio=0.599  [13 two-cell, 0 same-cell pairs]
k=16 N=86 rand3  E_lc=4.896  E_level2=2.751 (+-0.014)  ratio=0.562  [14 two-cell, 0 same-cell pairs]
