== tilted grid 10x10, k=100, m=400 (C=4.0); log Pr(fail) = -56.11 ; m ln2 = 277.3
  Delta  d  e   lag+=e*r+d  lag-=(h-e)r-d-1   L_Delta   logratio=log[P(both)/P(fail)^2]   -logratio/min(lag)
      1  0  1      10         89          90         44.280       -4.428   (0.0s)
      2  0  2      20         79          80         31.016       -1.551   (0.0s)
      3  0  3      30         69          70         16.184       -0.539   (0.1s)
      4  0  4      40         59          60          0.518       -0.013   (0.1s)
      5  0  5      50         49          50          0.000       -0.000   (0.1s)
      6  0  6      60         39          54          0.275       -0.007   (0.1s)
      7  0  7      70         29          63         14.559       -0.502   (0.1s)
      8  0  8      80         19          72         28.490       -1.499   (0.1s)
      9  0  9      90          9          81         40.880       -4.542   (0.0s)
     10  1  0       1         98          90         50.072      -50.072   (0.1s)
     11  1  1      11         88          81         38.484       -3.499   (0.1s)
     15  1  5      51         48          45          0.000       -0.000   (0.1s)
     20  2  0       2         97          80         45.174      -22.587   (0.0s)
     21  2  1      12         87          72         33.912       -2.826   (0.1s)
     25  2  5      52         47          40          0.000       -0.000   (0.1s)
     30  3  0       3         96          70         40.446      -13.482   (0.1s)
     35  3  5      53         46          35          0.000       -0.000   (0.0s)
     40  4  0       4         95          60         35.640       -8.910   (0.1s)
     45  4  5      54         45          30          0.000       -0.000   (0.0s)
     50  5  0       5         94          50         30.679       -6.136   (0.2s)
     51  5  1      15         84          45         21.111       -1.407   (0.1s)
     55  5  5      55         44          25          0.000       -0.000   (0.1s)
     60  6  0       6         93          40         25.521       -4.253   (0.1s)
     65  6  5      56         43          20          0.000       -0.000   (0.0s)
     70  7  0       7         92          30         20.088       -2.870   (0.1s)
     75  7  5      57         42          15          0.000       -0.000   (0.1s)
     80  8  0       8         91          20         14.225       -1.778   (0.1s)
     85  8  5      58         41          10          0.000       -0.000   (0.1s)
     90  9  0       9         90          10          7.769       -0.863   (0.1s)
     95  9  5      59         40           5          0.000       -0.000   (0.1s)
     99  9  9      99          0           1          0.000          nan   (0.1s)
    100 10  0      10         89           0          0.000       -0.000   (0.1s)
== tilted grid 10x10, k=100, m=800 (C=8.0); log Pr(fail) = -258.05 ; m ln2 = 554.5
  Delta  d  e   lag+=e*r+d  lag-=(h-e)r-d-1   L_Delta   logratio=log[P(both)/P(fail)^2]   -logratio/min(lag)
      1  0  1      10         89          90        237.913      -23.791   (0.1s)
      2  0  2      20         79          80        216.513      -10.826   (0.3s)
      3  0  3      30         69          70        193.714       -6.457   (0.3s)
      4  0  4      40         59          60        169.336       -4.233   (0.2s)
      5  0  5      50         49          50        143.160       -2.922   (0.2s)
      6  0  6      60         39          54        164.433       -4.216   (0.3s)
      7  0  7      70         29          63        187.672       -6.471   (0.1s)
      8  0  8      80         19          72        209.480      -11.025   (0.3s)
      9  0  9      90          9          81        229.989      -25.554   (0.2s)
     10  1  0       1         98          90        245.773      -245.773   (0.3s)
     11  1  1      11         88          81        225.923      -20.538   (0.3s)
     15  1  5      51         48          45        136.837       -2.851   (0.2s)
     20  2  0       2         97          80        235.151      -117.576   (0.3s)
     21  2  1      12         87          72        215.507      -17.959   (0.2s)
     25  2  5      52         47          40        134.112       -2.853   (0.2s)
     30  3  0       3         96          70        224.527      -74.842   (0.2s)
     35  3  5      53         46          35        131.165       -2.851   (0.2s)
     40  4  0       4         95          60        213.380      -53.345   (0.2s)
     45  4  5      54         45          30        127.736       -2.839   (0.3s)
     50  5  0       5         94          50        201.409      -40.282   (0.2s)
     51  5  1      15         84          45        183.891      -12.259   (0.3s)
     55  5  5      55         44          25        123.691       -2.811   (0.2s)
     60  6  0       6         93          40        188.375      -31.396   (0.2s)
     65  6  5      56         43          20        118.945       -2.766   (0.3s)
     70  7  0       7         92          30        174.142      -24.877   (0.2s)
     75  7  5      57         42          15        113.535       -2.703   (0.3s)
     80  8  0       8         91          20        158.627      -19.828   (0.3s)
     85  8  5      58         41          10        108.052       -2.635   (0.2s)
     90  9  0       9         90          10        141.388      -15.710   (0.3s)
     95  9  5      59         40           5         79.998       -2.000   (0.2s)
     99  9  9      99          0           1          0.000          nan   (0.3s)
    100 10  0      10         89           0          0.000       -0.000   (0.2s)
