k=400 m=3200 -logPfail=1018.05
 Delta  d  e  lag+   lag-   L_D   logratio   loss=-lf-logratio   loss/minlag
     1  0  1    20   379  380    978.50     39.54    1.977
     2  0  2    40   359  360    937.76     80.28    2.007
     3  0  3    60   339  340    895.77    122.28    2.038
     4  0  4    80   319  320    852.46    165.59    2.070
     5  0  5   100   299  300    807.75    210.29    2.103
     8  0  8   160   239  240    664.40    353.64    2.210
    10  0 10   200   199  200    559.98    458.07    2.302
    12  0 12   240   159  228    652.62    365.43    2.298
    15  0 15   300    99  285    792.80    225.25    2.275
    17  0 17   340    59  323    878.32    139.72    2.368
    18  0 18   360    39  342    919.36     98.68    2.530
    19  0 19   380    19  361    959.60     58.44    3.076
    20  1  0     1   398  380    994.83     23.21   23.214
    21  1  1    21   378  361    955.52     62.52    2.977
    40  2  0     2   397  360    975.95     42.10   21.050
    41  2  1    22   377  342    936.72     81.33    3.697
    60  3  0     3   396  340    958.02     60.03   20.010
   100  5  0     5   394  300    922.07     95.98   19.195
   200 10  0    10   389  200    821.70    196.35   19.635
   201 10  1    30   369  190    787.38    230.67    7.689
   210 10 10   210   189  100    473.56    544.49    2.881
   300 15  0    15   384  100    692.34    325.71   21.714
   399 19 19   399     0    1     -0.00   1018.05      nan
   400 20  0    20   379    0     -0.00   1018.05   50.902
