grid k=64 r=8 h=8 C=1 delta=0 reps=400 xfail=1 ok_phase1=318 ok_after_phase2=318 thm1=309 badcols=87 rescued=0 noncopy=0
grid k=64 r=8 h=8 C=1 delta=0.25 reps=400 xfail=18 ok_phase1=281 ok_after_phase2=281 thm1=273 badcols=114 rescued=0 noncopy=0
grid k=64 r=8 h=8 C=1 delta=0.4 reps=400 xfail=252 ok_phase1=110 ok_after_phase2=110 thm1=107 badcols=41 rescued=0 noncopy=0
grid k=64 r=8 h=8 C=2 delta=0 reps=400 xfail=0 ok_phase1=399 ok_after_phase2=399 thm1=399 badcols=1 rescued=0 noncopy=0
grid k=64 r=8 h=8 C=2 delta=0.25 reps=400 xfail=0 ok_phase1=399 ok_after_phase2=399 thm1=399 badcols=1 rescued=0 noncopy=0
grid k=64 r=8 h=8 C=2 delta=0.4 reps=400 xfail=0 ok_phase1=399 ok_after_phase2=399 thm1=398 badcols=1 rescued=0 noncopy=0
grid k=64 r=8 h=8 C=4 delta=0 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=64 r=8 h=8 C=4 delta=0.25 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=64 r=8 h=8 C=4 delta=0.4 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=64 r=8 h=8 C=8 delta=0 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=64 r=8 h=8 C=8 delta=0.25 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=64 r=8 h=8 C=8 delta=0.4 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=100 r=10 h=10 C=1 delta=0 reps=400 xfail=0 ok_phase1=335 ok_after_phase2=335 thm1=328 badcols=71 rescued=0 noncopy=0
grid k=100 r=10 h=10 C=1 delta=0.25 reps=400 xfail=3 ok_phase1=329 ok_after_phase2=329 thm1=323 badcols=75 rescued=0 noncopy=0
grid k=100 r=10 h=10 C=1 delta=0.4 reps=400 xfail=262 ok_phase1=108 ok_after_phase2=108 thm1=106 badcols=36 rescued=0 noncopy=0
grid k=100 r=10 h=10 C=2 delta=0 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=100 r=10 h=10 C=2 delta=0.25 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=399 badcols=0 rescued=0 noncopy=0
grid k=100 r=10 h=10 C=2 delta=0.4 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=100 r=10 h=10 C=4 delta=0 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=100 r=10 h=10 C=4 delta=0.25 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=100 r=10 h=10 C=4 delta=0.4 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=100 r=10 h=10 C=8 delta=0 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=100 r=10 h=10 C=8 delta=0.25 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=100 r=10 h=10 C=8 delta=0.4 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=144 r=12 h=12 C=1 delta=0 reps=400 xfail=0 ok_phase1=339 ok_after_phase2=339 thm1=338 badcols=67 rescued=0 noncopy=0
grid k=144 r=12 h=12 C=1 delta=0.25 reps=400 xfail=3 ok_phase1=338 ok_after_phase2=338 thm1=335 badcols=64 rescued=0 noncopy=0
grid k=144 r=12 h=12 C=1 delta=0.4 reps=400 xfail=284 ok_phase1=97 ok_after_phase2=97 thm1=93 badcols=20 rescued=0 noncopy=0
grid k=144 r=12 h=12 C=2 delta=0 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
grid k=144 r=12 h=12 C=2 delta=0.25 reps=400 xfail=0 ok_phase1=399 ok_after_phase2=399 thm1=399 badcols=1 rescued=0 noncopy=0
grid k=144 r=12 h=12 C=2 delta=0.4 reps=400 xfail=0 ok_phase1=400 ok_after_phase2=400 thm1=400 badcols=0 rescued=0 noncopy=0
