fixed r=2 h=1 k=2 reps=400 C_1/2=0.5922 trace=[(0.675, 0.5), (0.4125, 0.0), (0.5437, 0.49), (0.6094, 0.545), (0.5766, 0.495), (0.593, 0.52), (0.5848, 0.4575), (0.5889, 0.4925), (0.5909, 0.4775), (0.5919, 0.495), (0.5925, 0.5125)]
free r=2 h=4 k=8 reps=200 C_1/2=0.3912 trace=[(0.675, 0.995), (0.4125, 0.605), (0.2812, 0.12), (0.3469, 0.35), (0.3797, 0.44), (0.3961, 0.535), (0.3879, 0.43), (0.392, 0.5), (0.3899, 0.42), (0.391, 0.49), (0.3915, 0.56)]
fixed r=2 h=8 k=16 reps=400 C_1/2=0.3794 trace=[(0.675, 1.0), (0.4125, 0.6775), (0.2812, 0.08), (0.3469, 0.2875), (0.3797, 0.5025), (0.3633, 0.465), (0.3715, 0.4875), (0.3756, 0.4975), (0.3776, 0.49), (0.3787, 0.4675), (0.3792, 0.48)]
fixed r=2 h=2 k=4 reps=400 C_1/2=0.5768 trace=[(0.675, 0.6525), (0.4125, 0.2225), (0.5437, 0.4475), (0.6094, 0.515), (0.5766, 0.495), (0.593, 0.5175), (0.5848, 0.52), (0.5807, 0.535), (0.5786, 0.5525), (0.5776, 0.52), (0.5771, 0.5275)]
fixed r=4 h=1 k=4 reps=400 C_1/2=0.7757 trace=[(0.675, 0.375), (0.9375, 0.675), (0.8062, 0.5025), (0.7406, 0.465), (0.7734, 0.4975), (0.7898, 0.52), (0.7816, 0.5), (0.7775, 0.5275), (0.7755, 0.4825), (0.7765, 0.5325), (0.776, 0.505)]
fixed r=4 h=2 k=8 reps=400 C_1/2=0.5937 trace=[(0.675, 0.66), (0.4125, 0.125), (0.5437, 0.3725), (0.6094, 0.56), (0.5766, 0.4775), (0.593, 0.4775), (0.6012, 0.5725), (0.5971, 0.515), (0.595, 0.5575), (0.594, 0.5575), (0.5935, 0.48)]
fixed r=8 h=1 k=8 reps=400 C_1/2=0.8603 trace=[(0.675, 0.2475), (0.9375, 0.5925), (0.8062, 0.46), (0.8719, 0.5325), (0.8391, 0.485), (0.8555, 0.46), (0.8637, 0.545), (0.8596, 0.485), (0.8616, 0.5025), (0.8606, 0.5075), (0.8601, 0.4925)]
fixed r=2 h=16 k=32 reps=400 C_1/2=0.3220 trace=[(0.675, 1.0), (0.4125, 0.9975), (0.2812, 0.13), (0.3469, 0.7475), (0.3141, 0.4), (0.3305, 0.5825), (0.3223, 0.505), (0.3182, 0.445), (0.3202, 0.4425), (0.3212, 0.475), (0.3218, 0.4625)]
fixed r=8 h=2 k=16 reps=400 C_1/2=0.6096 trace=[(0.675, 0.67), (0.4125, 0.05), (0.5437, 0.3675), (0.6094, 0.495), (0.6422, 0.5725), (0.6258, 0.59), (0.6176, 0.515), (0.6135, 0.595), (0.6114, 0.545), (0.6104, 0.52), (0.6099, 0.505)]
fixed r=16 h=1 k=16 reps=400 C_1/2=0.9044 trace=[(0.675, 0.1125), (0.9375, 0.52), (0.8062, 0.275), (0.8719, 0.3625), (0.9047, 0.5175), (0.8883, 0.46), (0.8965, 0.4625), (0.9006, 0.4725), (0.9026, 0.46), (0.9037, 0.4725), (0.9042, 0.48)]
