k=10 C=8 N=800  -lnB/N = -0.3360  beta* = 0.461
k=10 C=10 N=1000  -lnB/N = -0.2473  beta* = 0.426
k=10 C=12 N=1200  -lnB/N = -0.1791  beta* = 0.399
k=10 C=15 N=1500  -lnB/N = -0.1010  beta* = 0.367
k=10 C=20 N=2000  -lnB/N = -0.0087  beta* = 0.328
k=10 C=30 N=3000  -lnB/N = 0.1060  beta* = 0.278
k=10 C=60 N=6000  -lnB/N = 0.2645  beta* = 0.206
k=14 C=8 N=1568  -lnB/N = -0.3790  beta* = 0.473
k=14 C=10 N=1960  -lnB/N = -0.2857  beta* = 0.437
k=14 C=12 N=2352  -lnB/N = -0.2142  beta* = 0.409
k=14 C=15 N=2940  -lnB/N = -0.1323  beta* = 0.377
k=14 C=20 N=3920  -lnB/N = -0.0357  beta* = 0.336
k=14 C=30 N=5880  -lnB/N = 0.0841  beta* = 0.286
k=14 C=60 N=11760  -lnB/N = 0.2491  beta* = 0.212
k=20 C=8 N=3200  -lnB/N = -0.4126  beta* = 0.481
k=20 C=10 N=4000  -lnB/N = -0.3156  beta* = 0.445
k=20 C=12 N=4800  -lnB/N = -0.2413  beta* = 0.417
k=20 C=15 N=6000  -lnB/N = -0.1564  beta* = 0.384
k=20 C=20 N=8000  -lnB/N = -0.0565  beta* = 0.343
k=20 C=30 N=12000  -lnB/N = 0.0672  beta* = 0.291
k=20 C=60 N=24000  -lnB/N = 0.2373  beta* = 0.217
k=30 C=12 N=10800  -lnB/N = -0.2631  beta* = 0.423
k=30 C=15 N=13500  -lnB/N = -0.1758  beta* = 0.389
k=30 C=20 N=18000  -lnB/N = -0.0731  beta* = 0.348
k=30 C=30 N=27000  -lnB/N = 0.0538  beta* = 0.296
k=40 C=15 N=24000  -lnB/N = -0.1857  beta* = 0.392
k=40 C=20 N=32000  -lnB/N = -0.0816  beta* = 0.351
