n k C(n,k) k! maxpat ratio=maxpat/C(n,k) method sigma
4 3 4 6 4 1.0000 exh 2413
5 3 10 6 6 0.6000 exh 25314
5 4 5 24 5 1.0000 exh 13524
6 3 20 6 6 0.3000 exh 136254
6 4 15 24 12 0.8000 exh 253614
6 5 6 120 6 1.0000 exh 135246
7 3 35 6 6 0.1714 exh 1247365
7 4 35 24 19 0.5429 exh 2571463
7 5 21 120 21 1.0000 exh 3614725
7 6 7 720 7 1.0000 exh 1352647
8 3 56 6 6 0.1071 exh 12358476
8 4 70 24 23 0.3286 exh 25837146
8 5 56 120 41 0.7321 exh 25836147
8 6 28 720 28 1.0000 exh 14725836
8 7 8 5040 8 1.0000 exh 13526847
9 4 126 24 24 0.1905 hill(3s) bgdiafhec
9 5 126 120 71 0.5635 hill(3s) gbeicfahd
10 4 210 24 24 0.1143 hill(4s) difaghbejc
10 5 252 120 93 0.3690 hill(6s) cheibgdjaf
11 5 462 120 109 0.2359 hill(12s) ieajfchdkbg
12 5 792 120 119 0.1503 hill(24s) cigleahdkfbj
12 6 924 720 398 0.4307 hill(34s) ibfkdgajelhc
13 6 1716 720 511 0.2978 hill(61s) elbgjdmiafkch
14 6 3003 720 610 0.2031 hill(39s) flaidngkchmbej
15 6 5005 720 679 0.1357 hill(68s) kcgnjeahldoibmf
16 6 8008 720 707 0.0883 hill(116s) kchpmfainelgbojd
