# n V_n V_n/n^2 (n+1)/(2n)
1 1.000000000 1.000000000 1.000000000
2 3.000000000 0.750000000 0.750000000
3 5.965537963 0.662837551 0.666666667
4 9.880088727 0.617505545 0.625000000
5 14.736652511 0.589466100 0.600000000
6 20.531127998 0.570309111 0.583333333
7 27.260857216 0.556344025 0.571428571
8 34.923992586 0.545687384 0.562500000
9 43.519183993 0.537273876 0.555555556
10 53.045406912 0.530454069 0.550000000
11 63.501860580 0.524808765 0.545454545
12 74.887904067 0.520054889 0.541666667
13 87.203014234 0.515994167 0.538461538
14 100.446757032 0.512483454 0.535714286
15 114.618767279 0.509416743 0.533333333
16 129.718734027 0.506713805 0.531250000
17 145.746389736 0.504312767 0.529411765
18 162.701502096 0.502165130 0.527777778
19 180.583867746 0.500232321 0.526315789
20 199.393307382 0.498483268 0.525000000
21 219.129661881 0.496892657 0.523809524
22 239.792789202 0.495439647 0.522727273
23 261.382561882 0.494106922 0.521739130
24 283.898864987 0.492879974 0.520833333
25 307.341594421 0.491746551 0.520000000
26 331.710655522 0.490696236 0.519230769
27 357.005961885 0.489720112 0.518518519
28 383.227434373 0.488810503 0.517857143
29 410.375000267 0.487960761 0.517241379
30 438.448592554 0.487165103 0.516666667
31 467.448149303 0.486418470 0.516129032
32 497.373613132 0.485716419 0.515625000
33 528.224930748 0.485055033 0.515151515
34 560.002052539 0.484430841 0.514705882
35 592.704932223 0.483840761 0.514285714
36 626.333526539 0.483282042 0.513888889
37 660.887794968 0.482752224 0.513513514
38 696.367699497 0.482249099 0.513157895
39 732.773204398 0.481770680 0.512820513
40 770.104276042 0.481315173 0.512500000
41 808.360882721 0.480880953 0.512195122
42 847.542994499 0.480466550 0.511904762
43 887.650583074 0.480070624 0.511627907
44 928.683621651 0.479691953 0.511363636
45 970.642084832 0.479329425 0.511111111
46 1013.525948512 0.478982017 0.510869565
47 1057.335189789 0.478648796 0.510638298
48 1102.069786880 0.478328901 0.510416667
49 1147.729719041 0.478021541 0.510204082
50 1194.314966504 0.477725987 0.510000000
51 1241.825510406 0.477441565 0.509803922
52 1290.261332736 0.477167653 0.509615385
53 1339.622416277 0.476903673 0.509433962
54 1389.908744560 0.476649089 0.509259259
55 1441.120301817 0.476403406 0.509090909
56 1493.257072940 0.476166158 0.508928571
57 1546.319043440 0.475936917 0.508771930
58 1600.306199414 0.475715279 0.508620690
59 1655.218527512 0.475500870 0.508474576
60 1711.056014902 0.475293337 0.508333333
61 1767.818649247 0.475092354 0.508196721
62 1825.506418674 0.474897612 0.508064516
63 1884.119311752 0.474708821 0.507936508
64 1943.657317468 0.474525712 0.507812500
65 2004.120425206 0.474348030 0.507692308
66 2065.508624725 0.474175534 0.507575758
67 2127.821906143 0.474007999 0.507462687
68 2191.060259917 0.473845212 0.507352941
69 2255.223676828 0.473686973 0.507246377
70 2320.312147967 0.473533091 0.507142857
71 2386.325664715 0.473383389 0.507042254
72 2453.264218736 0.473237697 0.506944444
73 2521.127801959 0.473095853 0.506849315
74 2589.916406571 0.472957708 0.506756757
75 2659.630024999 0.472823116 0.506666667
76 2730.268649906 0.472691941 0.506578947
77 2801.832274177 0.472564054 0.506493506
78 2874.320890910 0.472439331 0.506410256
79 2947.734493408 0.472317656 0.506329114
80 3022.073075169 0.472198918 0.506250000
81 3097.336629879 0.472083010 0.506172840
82 3173.525151404 0.471969832 0.506097561
83 3250.638633784 0.471859288 0.506024096
84 3328.677071223 0.471751286 0.505952381
85 3407.640458087 0.471645738 0.505882353
86 3487.528788891 0.471542562 0.505813953
87 3568.342058302 0.471441678 0.505747126
88 3650.080261127 0.471343009 0.505681818
89 3732.743392308 0.471246483 0.505617978
90 3816.331446920 0.471152030 0.505555556
91 3900.844420165 0.471059585 0.505494505
