n	potential_hex	potential	recurrence_upper	gap_lower	ratio_upper	evaluations
1	0x1.002554f92ba57p+0	1.0005696399999999	1.0000000000000009	0.00056963999999903858	1.0005696400000004	1694
2	0x1.80300df3cd5b8p+1	3.001466507	3.0009110225861257	0.00055548441387420755	0.75036662675000032	3388
3	0x1.7dfb014408ff9p+2	5.9684451259999998	5.9677335075405082	0.00071161845949152525	0.66316056955555569	6098
4	0x1.3c505e8e6f88cp+3	9.8848107130000002	9.88404040102259	0.00077031197741028723	0.61780066956250024	8272
5	0x1.d7cadbb86f6a1p+3	14.743512974	14.74279127595439	0.00072169804560928686	0.58974051896000024	10934
6	0x1.48a6a8584e4acp+4	20.540687890000001	20.539830872168483	0.00085701783151748135	0.57057466361111131	13252
7	0x1.b4613e19a7573p+4	27.273740864000001	27.272578074925601	0.0011627890743994838	0.55660695640816349	15904
8	0x1.1786a36f169f6p+5	34.940741412999998	34.939221706113784	0.0015197068862136118	0.54594908457812519	18433
9	0x1.5c52a35fc99cdp+5	43.540350674000003	43.538455842174351	0.0018948318256519767	0.53753519350617307	21298
10	0x1.a8928ad959c56p+5	53.071553895999998	53.069185786799707	0.002368109200290291	0.53071553896000023	23901
11	0x1.fc44baa9ac02dp+5	63.533559156000003	63.53069579013296	0.0028633658670429436	0.52507073682644656	26857
12	0x1.2bb3f38186414p+6	74.925733589000004	74.922335004510614	0.0033985844893891222	0.52031759436805569	29712
13	0x1.5cfd80c2c4468p+6	87.247561496000003	87.243602838759273	0.0039586572407301892	0.51625776033136117	32920
14	0x1.91fe9522c5049p+6	100.49861578300001	100.49401551794766	0.0046002650523462299	0.51274803970918381	36053
15	0x1.cab6d2a64466ap+6	114.67853793899999	114.67326845928433	0.0052694797156647146	0.50968239084000022	39749
16	0x1.0392f4c505d07p+7	129.787023694	129.78103318144014	0.0059905125598618261	0.50698056130468772	43151
17	0x1.23a5cac44dbc1p+7	145.823812613	145.81704082662833	0.006771786371672305	0.504580666480969	46824
18	0x1.4593cdeca9d95p+7	162.788680454	162.78110868057962	0.0075717734203806222	0.50243419893209895	50279
19	0x1.695ce4da01353p+7	180.68143349900001	180.67300327966296	0.0084302193370433525	0.50050258586980634	54054
20	0x1.8f00f997cad14p+7	199.50190424300001	199.49258423377995	0.0093200092200618184	0.49875476060750018	57651
21	0x1.b67ff92f3c94cp+7	219.249948002	219.23950496442939	0.010443037570610157	0.49716541497052169	61445
22	0x1.dfd9d349be8ffp+7	239.92544012499999	239.9138923415567	0.01154778344329088	0.49571371926652907	65073
23	0x1.05873cefe442dp+8	261.528273576	261.51555136270184	0.012722213298161476	0.49438236970888483	68864
24	0x1.1c0ef07833d48p+8	284.058356774	284.04432253923801	0.014034234761993501	0.49315686939930564	72505
25	0x1.3383ff1f4d80cp+8	307.51561160699998	307.50017177148561	0.015439835514371223	0.49202497857120014	76305
26	0x1.4be66489e071ap+8	331.89997159699999	331.88299221092473	0.016979386075263388	0.49097628934467463	80020
27	0x1.65361d036861bp+8	357.21138020799998	357.19274583533809	0.018634372661892936	0.49000189328943766	83856
28	0x1.7f732564869afp+8	383.44978931700001	383.42931965509933	0.02046966190067678	0.48909411902678585	87556
29	0x1.9a9d7afbc1237p+8	410.61515782800001	410.59269299607729	0.022464831922718528	0.48824632321997635	91395
30	0x1.b6b51b792d3d8p+8	438.70745046000002	438.68273143304117	0.024719026958848641	0.48745272273333351	95203
31	0x1.d3ba04dcb7eb3p+8	467.72663669100001	467.69954114288885	0.027095548111162767	0.486708258783559	99126
32	0x1.f1ac3566fb47fp+8	497.672689854	497.64302739633979	0.029662457660208471	0.48600848618554704	102915
33	0x1.0845d5c649eaap+9	528.54558638200001	528.51311357712302	0.032472804876988441	0.48534948244444454	106900
34	0x1.182c32f5bc966p+9	560.34530517300004	560.30985252542564	0.035452647574402356	0.48472777264100364	110765
35	0x1.288931a135a2dp+9	593.07182707899995	593.03318655428848	0.038640524711468054	0.4841402670032654	114810
36	0x1.395cd134fbe03p+9	626.72513448999996	626.68301894194883	0.042115548051128819	0.48358420871141983	118719
37	0x1.4aa711277a6d6p+9	661.30521100500005	661.25947407569981	0.04573692930023298	0.48305713002556627	122786
38	0x1.5c67f0f716aafp+9	696.812041174	696.762448578011	0.049592595988997339	0.48255681521745164	126737
39	0x1.6e9f70289c815p+9	733.24561030999996	733.19200594917686	0.053604360823101153	0.48208126910585153	130844
40	0x1.814d8e45ef5ebp+9	770.60590433300001	770.5480613852551	0.057842947744916266	0.48162869020812515	134847
41	0x1.94724add4b16ap+9	808.89290968099999	808.83059295676867	0.062316724231322944	0.48119744775788237	139121
42	0x1.a80da5809e872p+9	848.10661323299996	848.03970895342707	0.066904279572895561	0.48078606192346951	143360
43	0x1.bc1f9dc546e05p+9	888.24700227699998	888.17537892042651	0.071623356573468286	0.48039318673715542	147662
44	0x1.d0a83343ed485p+9	929.31406449400004	929.23733941361115	0.076725080388882802	0.4800175952964878	151915
45	0x1.e5a7659886db3p+9	971.30778795799995	971.22577550292397	0.082012455075982857	0.47965816689283963	156304
46	0x1.fb1d346288357p+9	1014.22816116	1014.1408792235494	0.087281936450608541	0.47931387578449919	160662
47	0x1.0884cfa28b6bfp+10	1058.0751730310001	1057.9824723783192	0.092700652680832704	0.47898378136306036	165144
48	0x1.13b652f3aa28bp+10	1102.8488129770001	1102.7504093401699	0.098403636830198579	0.4786670195212675	169597
49	0x1.1f2323fa5c385p+10	1148.5490709210001	1148.4448603642695	0.10421055673054978	0.47836279505247831	174233
