k=10 N=20 C=0.2000 samples/j=2000000
  j= 0 P(J=j)=5.4125e-06  k!p_j=1 +- 0  term=5.4125e-06
  j= 1 P(J=j)=5.4125e-04  k!p_j=0 +- 0  term=0
  j= 2 P(J=j)=1.0960e-02  k!p_j=0 +- 0  term=0
  j= 3 P(J=j)=7.7941e-02  k!p_j=9.072 +- 4.06  term=0.70708
  j= 4 P(J=j)=2.3869e-01  k!p_j=16.33 +- 5.44  term=3.8978
  j= 5 P(J=j)=3.4372e-01  k!p_j=29.03 +- 7.26  term=9.9783
  j= 6 P(J=j)=2.3869e-01  k!p_j=172.37 +- 17.7  term=41.143
  j= 7 P(J=j)=7.7941e-02  k!p_j=1130.4 +- 45.3  term=88.102
  j= 8 P(J=j)=1.0960e-02  k!p_j=9560.1 +- 132  term=104.78
  j= 9 P(J=j)=5.4125e-04  k!p_j=1.3231e+05 +- 481  term=71.615
  j=10 P(J=j)=5.4125e-06  k!p_j=3.6288e+06 +- 0  term=19.641
  R_avg=339.86649 +- 6.35843  lnR=5.8286
