k=10 N=30 C=0.3000 samples/j=2000000
  j= 0 P(J=j)=6.1493e-03  k!p_j=1 +- 0  term=0.0061493
  j= 1 P(J=j)=5.5903e-02  k!p_j=1.8144 +- 1.81  term=0.10143
  j= 2 P(J=j)=1.8867e-01  k!p_j=7.2576 +- 3.63  term=1.3693
  j= 3 P(J=j)=3.0962e-01  k!p_j=5.4432 +- 3.14  term=1.6853
  j= 4 P(J=j)=2.7091e-01  k!p_j=5.4432 +- 3.14  term=1.4746
  j= 5 P(J=j)=1.3004e-01  k!p_j=29.03 +- 7.26  term=3.7751
  j= 6 P(J=j)=3.3864e-02  k!p_j=174.18 +- 17.8  term=5.8985
  j= 7 P(J=j)=4.5532e-03  k!p_j=1103.2 +- 44.7  term=5.0229
  j= 8 P(J=j)=2.8457e-04  k!p_j=9788.7 +- 133  term=2.7856
  j= 9 P(J=j)=6.6567e-06  k!p_j=1.321e+05 +- 481  term=0.87935
  j=10 P(J=j)=3.3283e-08  k!p_j=3.6288e+06 +- 0  term=0.12078
  R_avg=23.11901 +- 1.85652  lnR=3.1407
