k=9 N=81 C=1.0000 samples/j=2000000
  j= 0 P(J=j)=3.2624e-01  k!p_j=1 +- 0  term=0.32624
  j= 1 P(J=j)=4.1290e-01  k!p_j=0.54432 +- 0.314  term=0.22475
  j= 2 P(J=j)=2.0327e-01  k!p_j=2.5402 +- 0.679  term=0.51635
  j= 3 P(J=j)=5.0305e-02  k!p_j=4.1731 +- 0.87  term=0.20993
  j= 4 P(J=j)=6.7574e-03  k!p_j=12.156 +- 1.49  term=0.082147
  j= 5 P(J=j)=4.9687e-04  k!p_j=43.364 +- 2.8  term=0.021546
  j= 6 P(J=j)=1.9203e-05  k!p_j=211.92 +- 6.2  term=0.0040695
  j= 7 P(J=j)=3.5270e-07  k!p_j=1464.2 +- 16.3  term=0.00051644
  j= 8 P(J=j)=2.4838e-09  k!p_j=16148 +- 52.9  term=4.0108e-05
  j= 9 P(J=j)=3.8331e-12  k!p_j=3.6288e+05 +- 0  term=1.3909e-06
  R_avg=1.38560 +- 0.19468  lnR=0.3261
