host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,overlap_7,overlap_8,overlap_9,overlap_10,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
0,160209,227837,279355702,133164,2,120,670,1180,2416,7188,16156,19594,20302,0,160209,0,0,0,0,0,0,0,0,0,0,0,0
1,371459,596913,140257224,288988,20,566,2702,7708,20276,36498,47558,53082,57044,0,371459,0,0,0,0,0,0,0,0,0,0,0,0
2,115054,171432,334815218,91575,0,18,114,322,894,2564,5612,16782,30072,0,115054,0,0,0,0,0,0,0,0,0,0,0,0
3,244034,327450,198591480,209746,6,206,778,2344,5546,9964,14986,25964,23622,0,244034,0,0,0,0,0,0,0,0,0,0,0,0
4,301853,468241,164022474,236014,16,120,836,3246,8644,17698,28516,40694,66618,0,301853,0,0,0,0,0,0,0,0,0,0,0,0
5,263963,377135,133652388,218338,0,16,518,2920,7996,15644,22266,32874,30938,0,263963,0,0,0,0,0,0,0,0,0,0,0,0
6,473176,806306,85164202,344555,46,370,1904,6330,15602,33226,57374,76244,142034,0,473176,0,0,0,1,1,1,1,1,1,0,0,0
7,346155,464527,86974534,293452,2,86,562,1684,4680,9288,18204,35920,47946,0,346155,0,0,0,0,0,0,0,0,0,0,0,0
8,150442,202212,255405244,128711,0,26,324,964,1866,3980,7162,12498,24950,0,150442,0,0,0,0,0,0,0,0,0,0,0,0
9,375401,664993,131847754,276868,8,158,1446,7296,25328,48468,54394,63678,88816,0,375401,0,0,0,0,0,0,0,0,0,0,0,0
10,248779,401753,172851902,188540,6,88,610,1974,4466,9664,20600,27766,87800,0,248779,0,0,0,0,0,0,0,0,0,0,0,0
11,178101,256793,232196066,144997,0,20,278,1092,3322,7328,13132,20888,32632,0,178101,0,0,0,0,0,0,0,0,0,0,0,0
12,381930,507920,98232618,327784,0,28,586,3844,11372,19958,28956,35598,25648,0,381930,0,0,0,0,0,0,0,0,0,0,0,0
13,333706,540980,120192338,251165,10,210,1200,3714,7558,18220,27280,44364,104718,0,333706,0,0,0,0,0,0,0,0,0,1,1,1
14,244078,378610,168520466,192174,12,104,446,1518,4416,11520,19532,26880,70104,0,244078,0,0,0,0,0,0,0,0,0,0,0,0
15,353305,460645,103533386,308357,8,306,1984,5866,10226,14856,20170,23030,30894,0,353305,0,0,0,0,0,0,0,0,0,0,0,0
16,315482,428840,114054244,266809,2,44,494,2252,6076,11514,19068,28248,45660,0,315482,0,0,0,1,1,1,0,0,0,0,0,0
17,134035,171325,320974650,117719,0,2,40,228,1118,2472,3774,12300,17356,0,134035,0,0,0,0,0,0,0,0,0,0,0,0
18,219796,273186,146124772,195151,0,0,32,184,792,4236,10610,16440,21096,0,219796,0,0,0,0,0,0,0,0,0,0,0,0
19,287390,390636,125927274,243680,2,76,554,2130,5322,10090,18384,32218,34470,0,287390,0,0,0,0,0,0,0,0,0,0,0,0
20,101021,175753,741204732,73379,0,0,60,426,1340,4830,8836,14942,44298,0,101021,0,0,0,1,1,1,0,0,0,0,0,0
21,149784,278876,309512858,103421,10,146,922,3008,7050,12428,19100,34442,51986,0,149784,0,0,0,0,0,0,2,4,1,0,0,0
22,320188,466020,117861600,261252,12,246,1500,4394,10046,16754,26040,35068,51772,0,320188,0,0,0,0,0,0,0,0,0,0,0,0
23,174925,274887,323120316,136398,0,134,576,1670,4158,7674,12650,31084,42016,0,174925,0,0,0,0,0,0,0,0,0,0,0,0
24,393567,708647,121720366,281886,60,1150,5422,13850,27348,41086,50412,56510,119242,0,393567,0,0,0,0,0,0,0,0,0,0,0,0
25,316150,579876,151925386,224370,70,500,2540,7944,16926,26308,39920,54184,115334,0,316150,0,0,0,0,0,0,0,0,0,0,0,0
26,272578,415172,164228730,214577,0,66,642,3518,9530,16598,24148,33378,54714,0,272578,0,0,0,1,1,1,0,0,0,0,0,0
27,272503,371059,186566660,230655,0,28,438,2090,6600,12030,15884,36138,25348,0,272503,0,0,0,0,0,0,1,1,1,0,0,0
28,137969,210249,311974418,109096,0,80,754,2244,5286,8516,12280,18662,24458,0,137969,1,1,1,0,0,0,2,4,1,2,4,1
