host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
0,37,39,250,36,0,0,0,0,2,0,37,0,0,0,0,0,0,0,0,0,0,0,0
1,39,39,224,39,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
2,65,65,132,65,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
3,23,23,410,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
4,61,63,150,60,0,0,0,2,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0
5,39,43,238,37,0,0,0,0,4,0,39,0,0,0,0,0,0,0,0,0,1,1,1
6,32,32,286,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
7,27,39,424,22,0,0,0,0,12,0,27,0,0,0,0,0,0,0,0,0,1,1,1
8,53,57,220,51,0,0,0,2,2,0,53,0,0,0,0,0,0,0,0,0,0,0,0
9,40,42,242,39,0,0,0,0,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0
10,45,47,230,44,0,0,0,0,2,0,45,0,0,0,0,0,0,0,0,0,0,0,0
11,32,32,290,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
12,69,71,130,68,0,0,0,2,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
13,31,39,342,27,0,0,0,0,8,0,31,0,0,0,0,0,0,0,0,0,0,0,0
14,56,60,176,54,0,0,0,2,2,0,56,0,0,0,0,0,0,0,0,0,0,0,0
15,42,44,232,41,0,0,0,0,2,0,42,0,0,0,0,0,0,0,0,0,0,0,0
16,25,27,396,24,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0
17,32,34,304,31,0,0,0,2,0,0,32,1,1,1,0,0,0,0,0,0,0,0,0
18,44,48,238,42,0,0,0,0,4,0,44,0,0,0,0,0,0,0,0,0,0,0,0
19,52,54,184,51,0,0,0,2,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
20,40,44,228,38,0,0,0,0,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0
21,41,45,240,39,0,0,0,2,2,0,41,0,0,0,0,0,0,0,0,0,0,0,0
22,25,27,404,24,0,0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,1,1,1
23,47,49,230,46,0,0,0,2,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
24,34,34,280,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
25,25,27,388,24,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0
26,25,27,412,24,0,0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
27,39,47,254,35,0,0,0,0,8,0,39,0,0,0,0,0,0,0,0,0,0,0,0
28,26,26,394,26,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
29,26,28,364,25,0,0,0,2,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
30,49,51,190,48,0,0,0,0,2,0,49,0,0,0,0,0,0,0,0,0,0,0,0
31,38,40,254,37,0,0,0,0,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0
32,54,56,168,53,0,0,0,0,2,0,54,0,0,0,0,0,0,0,0,0,0,0,0
33,39,43,234,37,0,0,0,2,2,0,39,0,0,0,0,0,0,1,1,1,0,0,0
34,47,47,210,47,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
35,40,40,232,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
36,18,24,606,15,0,0,0,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0
37,55,55,188,55,0,0,0,0,0,0,55,0,0,0,1,1,1,0,0,0,0,0,0
38,56,56,202,56,0,0,0,0,0,0,56,0,0,0,0,0,0,1,1,1,0,0,0
39,52,56,184,50,0,0,0,0,4,0,52,0,0,0,0,0,0,0,0,0,0,0,0
40,31,33,314,30,0,0,0,0,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0
41,26,28,386,25,0,0,0,2,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
42,50,50,180,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
43,33,35,298,32,0,0,0,0,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0
44,30,32,322,29,0,0,0,0,2,0,30,1,1,1,0,0,0,0,0,0,0,0,0
45,39,39,224,39,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
46,15,21,808,12,0,0,0,0,6,0,15,2,4,1,0,0,0,0,0,0,0,0,0
47,43,45,242,42,0,0,0,0,2,0,43,0,0,0,0,0,0,0,0,0,0,0,0
48,46,46,198,46,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
49,22,22,514,22,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
50,42,44,240,41,0,0,0,2,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
51,37,39,254,36,0,0,0,0,2,0,37,0,0,0,0,0,0,0,0,0,0,0,0
52,31,33,314,30,0,0,0,0,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0
53,34,34,264,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
54,23,25,444,22,0,0,0,0,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0
55,59,63,164,57,0,0,0,0,4,0,59,0,0,0,0,0,0,0,0,0,0,0,0
56,64,66,144,63,0,0,0,2,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
57,19,21,526,18,0,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0
58,57,69,202,51,0,0,0,2,10,0,57,0,0,0,0,0,0,0,0,0,0,0,0
59,36,38,260,35,0,0,0,0,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0
60,54,54,158,54,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0
61,9,9,1236,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
62,28,28,366,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
63,49,49,182,49,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
64,44,44,206,44,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
65,31,31,294,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
66,36,36,280,36,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
67,29,29,350,29,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
68,51,51,180,51,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
69,33,33,302,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
70,31,31,380,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
71,34,34,270,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,1,1
72,46,48,218,45,0,0,0,0,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0
73,27,27,348,27,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
74,60,60,182,60,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
75,44,56,282,39,0,0,0,2,10,0,44,0,0,0,0,0,0,0,0,0,0,0,0
76,40,40,290,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
77,10,10,966,10,0,0,0,0,0,0,10,1,1,1,0,0,0,0,0,0,0,0,0
78,55,57,176,54,0,0,0,0,2,0,55,0,0,0,0,0,0,1,1,1,0,0,0
79,31,33,318,30,0,0,0,0,2,0,31,0,0,0,0,0,0,0,0,0,0,0,0
80,24,24,380,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
81,52,52,216,52,0,0,0,0,0,0,52,0,0,0,0,0,0,1,1,1,0,0,0
82,42,44,240,41,0,0,0,2,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
83,30,30,344,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
84,25,27,392,24,0,0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,1,1,1
85,40,42,264,39,0,0,0,0,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0
86,47,47,194,47,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
87,44,46,216,43,0,0,0,2,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
88,47,53,228,44,0,0,0,0,6,0,47,0,0,0,0,0,0,1,1,1,0,0,0
89,37,37,244,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
90,44,44,216,44,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
91,46,46,204,46,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
92,22,24,422,21,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0
93,57,85,252,46,0,0,0,0,28,0,57,0,0,0,0,0,0,0,0,0,0,0,0
94,40,40,262,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
95,49,49,186,49,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
96,18,18,544,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
97,39,39,242,39,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
98,47,47,228,47,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
99,30,30,322,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
100,37,37,252,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
101,40,48,302,36,0,0,0,4,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0
102,32,38,348,29,0,0,0,0,6,0,32,0,0,0,0,0,0,0,0,0,0,0,0
103,28,30,342,27,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0
104,45,53,242,41,0,0,0,0,8,0,45,0,0,0,0,0,0,0,0,0,0,0,0
105,55,59,198,53,0,0,0,4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
106,53,53,180,53,0,0,0,0,0,0,53,0,0,0,0,0,0,1,1,1,0,0,0
107,21,27,518,18,0,0,0,0,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0
108,50,52,178,49,0,0,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0
109,45,45,238,45,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
110,32,34,274,31,0,0,0,0,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0
111,56,56,188,56,0,0,0,0,0,0,56,0,0,0,0,0,0,1,1,1,1,1,1
112,32,42,426,27,0,0,0,0,10,0,32,0,0,0,0,0,0,0,0,0,0,0,0
113,33,35,298,32,0,0,0,0,2,0,33,1,1,1,0,0,0,0,0,0,0,0,0
114,48,52,206,46,0,0,0,0,4,0,48,0,0,0,0,0,0,0,0,0,0,0,0
115,31,31,292,31,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
116,39,39,236,39,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
117,47,49,208,46,0,0,0,0,2,0,47,0,0,0,0,0,0,0,0,0,0,0,0
118,14,14,720,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
