host,sum_y,sum_y2,sum_m2,distinct,overlap_0,overlap_1,overlap_2,overlap_3,overlap_4,overlap_5,overlap_6,overlap_7,overlap_8,target0_y,target0_y2,target0_hit,target1_y,target1_y2,target1_hit,target2_y,target2_y2,target2_hit,target3_y,target3_y2,target3_hit
0,5864,9412,3130658,4401,8,36,124,290,610,964,1516,0,5864,0,0,0,0,0,0,0,0,0,0,0,0
1,10582,17376,2183650,8053,2,82,464,1080,1652,1414,2100,0,10582,0,0,0,1,1,1,1,1,1,0,0,0
2,5054,7896,5142948,3892,0,0,16,46,318,1042,1420,0,5054,0,0,0,0,0,0,1,1,1,0,0,0
3,7501,11081,2497784,6016,0,18,198,468,974,1034,888,0,7501,0,0,0,0,0,0,1,1,1,0,0,0
4,10408,14276,1341640,8756,0,56,364,646,982,1108,712,0,10408,0,0,0,0,0,0,0,0,0,0,0,0
5,7991,11477,2163546,6553,0,10,154,454,716,1100,1052,0,7991,0,0,0,0,0,0,0,0,0,0,0,0
6,7494,9962,2071946,6384,0,26,62,136,358,872,1014,0,7494,2,4,1,1,1,1,1,1,1,0,0,0
7,10120,14186,1651358,8418,4,42,194,614,800,1156,1256,0,10120,0,0,0,0,0,0,1,1,1,0,0,0
8,8833,12091,2046844,7377,2,22,114,342,746,854,1178,0,8833,0,0,0,0,0,0,0,0,0,0,0,0
9,6210,10880,3182808,4383,0,46,176,444,426,1032,2546,0,6210,0,0,0,0,0,0,0,0,0,0,0,0
10,5279,9687,4168528,3720,0,16,90,432,442,1236,2192,0,5279,2,4,1,4,16,1,0,0,0,2,4,1
11,5940,8722,3216452,4829,0,12,54,198,394,638,1486,0,5940,1,1,1,1,1,1,2,4,1,1,1,1
12,10977,17175,1616516,8431,16,138,530,994,1156,1624,1740,0,10977,0,0,0,0,0,0,0,0,0,0,0,0
13,12341,17573,1202884,10045,10,62,406,780,1330,1446,1198,0,12341,0,0,0,0,0,0,0,0,0,0,0,0
14,8493,15143,2618918,5941,0,8,96,526,1000,1524,3496,0,8493,0,0,0,0,0,0,0,0,0,0,0,0
15,5744,8216,4105470,4649,0,0,46,212,520,784,910,0,5744,0,0,0,0,0,0,1,1,1,0,0,0
16,16268,29866,1263772,11250,8,126,554,1508,2456,3900,5046,0,16268,0,0,0,0,0,0,2,4,1,0,0,0
17,7905,11107,2029792,6507,2,22,86,158,510,1352,1072,0,7905,0,0,0,0,0,0,0,0,0,0,0,0
18,14897,22053,1094196,11973,0,30,254,1092,1860,2122,1798,0,14897,0,0,0,1,1,1,1,1,1,0,0,0
19,13591,20583,1503344,10581,8,90,594,1472,2136,1656,1036,0,13591,1,1,1,0,0,0,2,4,1,0,0,0
20,7730,10840,2098108,6475,20,84,248,416,412,878,1052,0,7730,0,0,0,0,0,0,0,0,0,0,0,0
21,5404,8914,4591544,3895,0,4,46,176,524,444,2316,0,5404,0,0,0,0,0,0,0,0,0,0,0,0
