host,n,pairs,normalized
0,4096,58,0.90625
1,4096,61,0.953125
2,4096,62,0.96875
3,4096,60,0.9375
4,4096,63,0.984375
5,4096,62,0.96875
6,4096,59,0.921875
7,4096,59,0.921875
8,4096,61,0.953125
9,4096,59,0.921875
10,4096,57,0.890625
11,4096,63,0.984375
12,4096,60,0.9375
13,4096,62,0.96875
14,4096,59,0.921875
15,4096,62,0.96875
16,4096,61,0.953125
17,4096,62,0.96875
18,4096,60,0.9375
19,4096,61,0.953125
20,4096,56,0.875
21,4096,62,0.96875
22,4096,59,0.921875
23,4096,61,0.953125
24,4096,59,0.921875
25,4096,60,0.9375
26,4096,61,0.953125
27,4096,59,0.921875
28,4096,62,0.96875
29,4096,63,0.984375
30,4096,59,0.921875
31,4096,61,0.953125
32,4096,62,0.96875
33,4096,58,0.90625
34,4096,59,0.921875
35,4096,58,0.90625
36,4096,61,0.953125
37,4096,61,0.953125
38,4096,61,0.953125
39,4096,62,0.96875
40,4096,61,0.953125
41,4096,60,0.9375
42,4096,57,0.890625
43,4096,60,0.9375
44,4096,57,0.890625
45,4096,62,0.96875
46,4096,59,0.921875
47,4096,60,0.9375
48,4096,59,0.921875
49,4096,60,0.9375
50,4096,60,0.9375
51,4096,58,0.90625
52,4096,60,0.9375
53,4096,61,0.953125
54,4096,59,0.921875
55,4096,61,0.953125
56,4096,61,0.953125
57,4096,60,0.9375
58,4096,61,0.953125
59,4096,61,0.953125
60,4096,63,0.984375
61,4096,61,0.953125
62,4096,61,0.953125
63,4096,58,0.90625
